id_cliente;nome_cliente;idade;data_atendimento;serviço;produto_vendido;valor_serviço;valor_produto
C060;Marcos Vinicius Lopes;31;2024-01-09;Hidratação;;70;0
C205;Luiz Felipe Almeida;44;2024-01-09;Barba Modelada;;55;0
C182;Sr. Alexandre Azevedo;41;2024-01-09;Depilação de orelha;;35;0
C021;Breno Nogueira;27;2024-01-09;Combo 1;Shampoo de barba;110;49
C020;Sr. Calebe Peixoto;73;2024-01-09;Combo 1;;110;0
C019;Calebe Gomes;5;2024-01-09;Corte a Maquina;;55;0
C144;Enrico Moura;40;2024-01-09;Corte a Maquina;;55;0
C230;Enzo Alves;9;2024-01-09;Combo 1;;110;0
C124;Dr. Gustavo Henrique Rodrigues;61;2024-01-09;Barba Modelada;;55;0
C093;Calebe Dias;29;2024-01-10;Combo 1;;110;0
C239;Danilo Pinto;19;2024-01-10;Combo 1;;110;0
C005;Dr. Enrico Ribeiro;30;2024-01-10;Combo 2;;100;0
C127;Luiz Otávio da Rocha;72;2024-01-10;Barba Modelada;;55;0
C012;Yago Pereira;6;2024-01-10;Corte de Cabelo;;70;0
C083;Samuel Azevedo;9;2024-01-10;Corte de Cabelo;;70;0
C218;Sr. Emanuel da Mata;62;2024-01-10;Corte a Maquina;Balm;55;49
C234;Joaquim Fernandes;33;2024-01-10;Combo 1;;110;0
C097;Nicolas Gomes;20;2024-01-10;Combo 2;;100;0
C009;Matheus da Cunha;13;2024-01-10;Combo 1;;110;0
C189;Enzo Gomes;33;2024-01-10;Barba Modelada;;55;0
C205;Luiz Felipe Almeida;44;2024-01-10;Combo 1;;110;0
C219;Lucca Nogueira;54;2024-01-10;Barba Modelada;;55;0
C050;Pedro Henrique Fogaça;72;2024-01-10;Sobrancelha;;35;0
C098;Dr. Nathan Viana;35;2024-01-11;Corte de Cabelo;;70;0
C007;Enzo Pires;15;2024-01-11;Corte de Cabelo;Balm;70;49
C027;Dr. Kaique Farias;37;2024-01-11;Corte de Cabelo;Shampoo de barba;70;49
C152;Heitor Vieira;69;2024-01-11;Depilação de orelha;;35;0
C021;Breno Nogueira;27;2024-01-11;Combo 2;Balm;100;49
C240;Benjamin Lima;56;2024-01-11;Combo 2;;100;0
C157;Erick da Cruz;4;2024-01-11;Corte de Cabelo;Shampoo de barba;70;49
C031;Emanuel Farias;45;2024-01-11;Limpeza de pele;Pomada de cabelo;45;89
C149;Enzo Gabriel Rocha;49;2024-01-11;Combo 1;;110;0
C048;Otávio Araújo;50;2024-01-11;Corte de Cabelo;;70;0
C191;Enrico Peixoto;10;2024-01-12;Corte de Cabelo;;70;0
C212;Breno da Costa;71;2024-01-12;Sobrancelha;;35;0
C086;Sr. Davi Lucas Vieira;42;2024-01-12;Corte a Maquina;;55;0
C025;Dr. Leonardo Barros;59;2024-01-12;Corte de Cabelo;;70;0
C043;Dr. Kaique Campos;35;2024-01-12;Barba Modelada;;55;0
C104;Lucas Gabriel Gomes;76;2024-01-12;Corte de Cabelo;;70;0
C157;Erick da Cruz;4;2024-01-12;Corte de Cabelo;;70;0
C159;João Ribeiro;48;2024-01-12;Corte a Maquina;;55;0
C193;Diego Campos;4;2024-01-13;Combo 1;;110;0
C021;Breno Nogueira;27;2024-01-13;Combo 2;;100;0
C060;Marcos Vinicius Lopes;31;2024-01-13;Corte de Cabelo;;70;0
C013;Ryan Porto;5;2024-01-13;Corte de Cabelo;;70;0
C225;Sr. João Felipe Pires;56;2024-01-13;Corte de Cabelo;;70;0
C131;Enzo Gabriel Porto;36;2024-01-13;Corte de Cabelo;;70;0
C010;Benjamin Fernandes;77;2024-01-13;Barba Modelada;;55;0
C073;Sr. Diogo da Luz;23;2024-01-13;Combo 1;;110;0
C242;Davi Novaes;37;2024-01-13;Combo 1;;110;0
C061;Samuel da Luz;14;2024-01-13;Combo 1;;110;0
C182;Sr. Alexandre Azevedo;41;2024-01-13;Corte de Cabelo;;70;0
C046;Calebe das Neves;70;2024-01-13;Barba Modelada;Shampoo de barba;55;49
C046;Calebe das Neves;70;2024-01-13;Sobrancelha;Balm;35;49
C118;Ryan Cavalcanti;56;2024-01-14;Corte a Maquina;;55;0
C021;Breno Nogueira;27;2024-01-14;Combo 1;;110;0
C124;Dr. Gustavo Henrique Rodrigues;61;2024-01-14;Corte de Cabelo;;70;0
C005;Dr. Enrico Ribeiro;30;2024-01-14;Barba Modelada;;55;0
C127;Luiz Otávio da Rocha;72;2024-01-14;Corte a Maquina;;55;0
C095;João Lucas Barbosa;52;2024-01-14;Barba Modelada;;55;0
C101;Rodrigo Ferreira;73;2024-01-14;Corte de Cabelo;;70;0
C207;Pietro Caldeira;67;2024-01-15;Sobrancelha;;35;0
C064;Felipe Lopes;60;2024-01-15;Combo 1;;110;0
C047;Diogo Lima;17;2024-01-15;Combo 1;;110;0
C008;Dr. Calebe Caldeira;71;2024-01-15;Combo 1;Shampoo de barba;110;49
C078;Luiz Fernando Costa;50;2024-01-15;Corte de Cabelo;;70;0
C092;Marcos Vinicius Nogueira;42;2024-01-15;Barba Modelada;;55;0
C233;Sr. Thomas Silva;15;2024-01-15;Corte de Cabelo;;70;0
C126;Davi da Cunha;34;2024-01-15;Combo 1;;110;0
C164;Nathan Cardoso;74;2024-01-15;Sobrancelha;;35;0
C018;Benício das Neves;79;2024-01-15;Corte de Cabelo;;70;0
C031;Emanuel Farias;45;2024-01-15;Combo 1;;110;0
C247;Dr. Danilo Caldeira;72;2024-01-15;Combo 1;;110;0
C223;Samuel Souza;57;2024-01-15;Corte de Cabelo;;70;0
C050;Pedro Henrique Fogaça;72;2024-01-15;Combo 1;;110;0
C122;Nathan Moura;50;2024-01-16;Combo 1;Shampoo de barba;110;49
C046;Calebe das Neves;70;2024-01-16;Sobrancelha;;35;0
C001;Carlos Eduardo Silveira;16;2024-01-16;Corte de Cabelo;Pomada de cabelo;70;89
C112;Dr. Erick Ferreira;65;2024-01-16;Combo 1;;110;0
C113;Luiz Gustavo Rocha;13;2024-01-16;Combo 1;;110;0
C130;Dr. Luigi Ferreira;70;2024-01-16;Depilação de nariz;;35;0
C089;Sr. Alexandre Cavalcanti;10;2024-01-16;Combo 1;;110;0
C170;Dr. Noah Farias;18;2024-01-16;Sobrancelha;;35;0
C082;Yuri Teixeira;43;2024-01-16;Depilação de orelha;;35;0
C215;Dr. Luiz Gustavo da Luz;75;2024-01-16;Corte de Cabelo;;70;0
C150;Pedro Henrique Pereira;22;2024-01-16;Hidratação;;70;0
C227;Davi Luiz da Paz;61;2024-01-16;Combo 1;Pomada de cabelo;110;89
C078;Luiz Fernando Costa;50;2024-01-16;Barba Modelada;;55;0
C243;Diogo Ribeiro;61;2024-01-16;Corte de Cabelo;;70;0
C074;Lucas Gabriel Azevedo;70;2024-01-16;Depilação de orelha;Balm;35;49
C140;Cauã Freitas;66;2024-01-16;Corte de Cabelo;;70;0
C134;Heitor Moura;39;2024-01-16;Corte a Maquina;Shampoo de barba;55;49
C135;Lucas Costa;57;2024-01-16;Combo 1;Balm;110;49
C063;Marcos Vinicius da Mata;37;2024-01-17;Combo 1;Pomada de cabelo;110;89
C064;Felipe Lopes;60;2024-01-17;Barba Modelada;;55;0
C171;Erick Ferreira;18;2024-01-17;Corte a Maquina;;55;0
C119;Erick Caldeira;78;2024-01-17;Combo 1;;110;0
C161;Luiz Miguel Sales;32;2024-01-17;Hidratação;Pomada de cabelo;70;89
C210;João Miguel da Paz;64;2024-01-17;Combo 1;;110;0
C126;Davi da Cunha;34;2024-01-17;Hidratação;;70;0
C232;Levi da Mota;45;2024-01-17;Corte de Cabelo;Pomada de cabelo;70;89
C189;Enzo Gomes;33;2024-01-17;Corte de Cabelo;;70;0
C020;Sr. Calebe Peixoto;73;2024-01-17;Corte de Cabelo;;70;0
C148;Sr. Enrico Teixeira;21;2024-01-17;Corte de Cabelo;;70;0
C022;Danilo Fernandes;71;2024-01-17;Corte de Cabelo;Pomada de cabelo;70;89
C227;Davi Luiz da Paz;61;2024-01-17;Acabamento;;28;0
C144;Enrico Moura;40;2024-01-17;Barba Modelada;;55;0
C029;Pedro Miguel da Cunha;22;2024-01-17;Depilação de orelha;;35;0
C028;Davi Lucas da Costa;2;2024-01-17;Corte de Cabelo;;70;0
C196;Gabriel Peixoto;31;2024-01-17;Barba Modelada;;55;0
C112;Dr. Erick Ferreira;65;2024-01-17;Limpeza de pele;Shampoo de barba;45;49
C113;Luiz Gustavo Rocha;13;2024-01-17;Combo 1;;110;0
C099;Lucas Gabriel Almeida;19;2024-01-17;Corte de Cabelo;;70;0
C014;Luiz Henrique Caldeira;13;2024-01-17;Corte de Cabelo;;70;0
C097;Nicolas Gomes;20;2024-01-18;Combo 1;;110;0
C230;Enzo Alves;9;2024-01-18;Corte a Maquina;;55;0
C076;Marcelo Mendes;22;2024-01-18;Sobrancelha;Pomada de cabelo;35;89
C076;Marcelo Mendes;22;2024-01-18;Combo 1;;110;0
C004;Sr. Davi Luiz Gomes;33;2024-01-18;Barba Modelada;;55;0
C027;Dr. Kaique Farias;37;2024-01-18;Combo 1;Pomada de cabelo;110;89
C028;Davi Lucas da Costa;2;2024-01-18;Combo 1;;110;0
C247;Dr. Danilo Caldeira;72;2024-01-18;Limpeza de pele;;45;0
C178;Benício da Mata;56;2024-01-18;Limpeza de pele;;45;0
C207;Pietro Caldeira;67;2024-01-18;Corte de Cabelo;Shampoo de barba;70;49
C181;Dr. Enzo Gabriel Pinto;27;2024-01-18;Combo 1;Shampoo de barba;110;49
C093;Calebe Dias;29;2024-01-18;Corte de Cabelo;;70;0
C163;Thomas Cardoso;32;2024-01-18;Sobrancelha;;35;0
C092;Marcos Vinicius Nogueira;42;2024-01-18;Combo 1;;110;0
C182;Sr. Alexandre Azevedo;41;2024-01-18;Barba Modelada;;55;0
C202;Breno Vieira;31;2024-01-18;Combo 1;;110;0
C197;Dr. Lucca Porto;77;2024-01-18;Corte de Cabelo;;70;0
C048;Otávio Araújo;50;2024-01-18;Hidratação;Shampoo de barba;70;49
C066;Benício Moreira;22;2024-01-19;Combo 2;Balm;100;49
C204;João Vitor Martins;6;2024-01-19;Corte de Cabelo;;70;0
C051;Lorenzo Fernandes;39;2024-01-19;Barba Modelada;;55;0
C089;Sr. Alexandre Cavalcanti;10;2024-01-19;Combo 1;;110;0
C015;Theo Cardoso;29;2024-01-19;Barba Modelada;;55;0
C157;Erick da Cruz;4;2024-01-20;Combo 1;;110;0
C110;Diego Moraes;19;2024-01-20;Combo 1;;110;0
C105;João Vitor Cunha;56;2024-01-20;Corte de Cabelo;Pomada de cabelo;70;89
C072;João Lucas Cunha;79;2024-01-20;Corte de Cabelo;;70;0
C134;Heitor Moura;39;2024-01-20;Corte de Cabelo;;70;0
C153;Yuri Cardoso;2;2024-01-20;Corte a Maquina;;55;0
C121;Eduardo Nascimento;51;2024-01-20;Corte de Cabelo;;70;0
C018;Benício das Neves;79;2024-01-20;Combo 1;;110;0
C199;Luiz Felipe Moraes;2;2024-01-20;Corte de Cabelo;;70;0
C228;Benjamin Carvalho;8;2024-01-20;Combo 1;;110;0
C037;André da Paz;13;2024-01-20;Corte de Cabelo;;70;0
C107;Dr. Gabriel Souza;53;2024-01-20;Barba Modelada;Pomada de cabelo;55;89
C120;Gabriel Rodrigues;10;2024-01-20;Combo 1;;110;0
C163;Thomas Cardoso;32;2024-01-20;Depilação de orelha;Pomada de cabelo;35;89
C125;Dr. Daniel Cardoso;69;2024-01-20;Combo 1;;110;0
C064;Felipe Lopes;60;2024-01-20;Combo 1;Pomada de cabelo;110;89
C167;Marcos Vinicius Ferreira;64;2024-01-20;Combo 1;;110;0
C061;Samuel da Luz;14;2024-01-20;Combo 1;;110;0
C105;João Vitor Cunha;56;2024-01-20;Corte a Maquina;;55;0
C177;Thiago Melo;79;2024-01-20;Limpeza de pele;Balm;45;49
C175;Diogo Almeida;35;2024-01-20;Barba Modelada;;55;0
C178;Benício da Mata;56;2024-01-21;Corte de Cabelo;Balm;70;49
C118;Ryan Cavalcanti;56;2024-01-21;Corte de Cabelo;;70;0
C198;Dr. Luiz Miguel Vieira;30;2024-01-21;Combo 2;Balm;100;49
C230;Enzo Alves;9;2024-01-21;Corte de Cabelo;Pomada de cabelo;70;89
C249;Bryan da Mata;8;2024-01-21;Combo 1;;110;0
C066;Benício Moreira;22;2024-01-21;Corte de Cabelo;Balm;70;49
C060;Marcos Vinicius Lopes;31;2024-01-21;Combo 1;;110;0
C122;Nathan Moura;50;2024-01-21;Corte de Cabelo;;70;0
C156;João Felipe das Neves;64;2024-01-21;Depilação de nariz;;35;0
C183;Sr. Enrico das Neves;53;2024-01-22;Hidratação;Pomada de cabelo;70;89
C231;Francisco Vieira;53;2024-01-22;Combo 1;;110;0
C145;Pedro Henrique Vieira;66;2024-01-22;Barba Modelada;Shampoo de barba;55;49
C134;Heitor Moura;39;2024-01-22;Corte de Cabelo;;70;0
C068;Thomas Melo;47;2024-01-22;Depilação de orelha;Balm;35;49
C057;Sr. Juan Cavalcanti;31;2024-01-22;Barba Modelada;Balm;55;49
C155;Dr. Davi Lucca Aragão;43;2024-01-22;Barba Modelada;;55;0
C241;Bruno Souza;25;2024-01-22;Hidratação;;70;0
C016;Levi Pereira;31;2024-01-22;Limpeza de pele;;45;0
C092;Marcos Vinicius Nogueira;42;2024-01-22;Corte de Cabelo;Balm;70;49
C107;Dr. Gabriel Souza;53;2024-01-23;Depilação de orelha;;35;0
C186;Rodrigo Castro;68;2024-01-23;Corte a Maquina;Shampoo de barba;55;49
C077;Igor Pereira;61;2024-01-23;Combo 1;;110;0
C148;Sr. Enrico Teixeira;21;2024-01-23;Acabamento;;28;0
C215;Dr. Luiz Gustavo da Luz;75;2024-01-23;Corte de Cabelo;;70;0
C176;Lucas Gabriel Costela;69;2024-01-23;Barba Modelada;;55;0
C163;Thomas Cardoso;32;2024-01-23;Hidratação;;70;0
C125;Dr. Daniel Cardoso;69;2024-01-23;Corte de Cabelo;;70;0
C116;Lucca Moraes;21;2024-01-23;Sobrancelha;;35;0
C169;Alexandre Gomes;70;2024-01-24;Corte de Cabelo;;70;0
C105;João Vitor Cunha;56;2024-01-24;Corte a Maquina;;55;0
C032;Gabriel Teixeira;37;2024-01-24;Combo 1;;110;0
C215;Dr. Luiz Gustavo da Luz;75;2024-01-24;Combo 1;;110;0
C078;Luiz Fernando Costa;50;2024-01-24;Corte de Cabelo;;70;0
C135;Lucas Costa;57;2024-01-24;Hidratação;Shampoo de barba;70;49
C016;Levi Pereira;31;2024-01-25;Barba Modelada;;55;0
C082;Yuri Teixeira;43;2024-01-25;Corte de Cabelo;;70;0
C134;Heitor Moura;39;2024-01-25;Corte de Cabelo;;70;0
C099;Lucas Gabriel Almeida;19;2024-01-25;Sobrancelha;;35;0
C091;Marcos Vinicius Castro;74;2024-01-25;Depilação de orelha;Pomada de cabelo;35;89
C104;Lucas Gabriel Gomes;76;2024-01-25;Corte de Cabelo;;70;0
C156;João Felipe das Neves;64;2024-01-25;Corte a Maquina;;55;0
C164;Nathan Cardoso;74;2024-01-25;Corte de Cabelo;Balm;70;49
C244;Sr. Benjamin Moura;33;2024-01-25;Corte de Cabelo;Shampoo de barba;70;49
C188;Dr. Cauê Moraes;17;2024-01-26;Combo 1;;110;0
C117;Henrique Barros;22;2024-01-26;Corte a Maquina;;55;0
C035;Cauê Pereira;45;2024-01-26;Barba Modelada;;55;0
C142;Enzo da Mota;66;2024-01-26;Combo 1;;110;0
C079;João Guilherme Dias;36;2024-01-26;Corte de Cabelo;;70;0
C079;João Guilherme Dias;36;2024-01-26;Combo 1;;110;0
C050;Pedro Henrique Fogaça;72;2024-01-26;Combo 1;;110;0
C204;João Vitor Martins;6;2024-01-27;Corte de Cabelo;Balm;70;49
C203;Renan da Mota;10;2024-01-27;Corte de Cabelo;;70;0
C243;Diogo Ribeiro;61;2024-01-27;Corte a Maquina;;55;0
C010;Benjamin Fernandes;77;2024-01-27;Combo 1;;110;0
C211;Cauê Almeida;29;2024-01-27;Combo 1;Shampoo de barba;110;49
C019;Calebe Gomes;5;2024-01-27;Corte de Cabelo;;70;0
C069;Pedro Henrique Pires;28;2024-01-27;Acabamento;Shampoo de barba;28;49
C106;Sr. Yago Jesus;76;2024-01-27;Corte de Cabelo;Pomada de cabelo;70;89
C195;Dr. João Felipe Lopes;72;2024-01-27;Combo 1;Pomada de cabelo;110;89
C059;Sr. Caio Teixeira;12;2024-01-27;Corte de Cabelo;;70;0
C119;Erick Caldeira;78;2024-01-28;Corte de Cabelo;;70;0
C187;Ian Moraes;59;2024-01-28;Limpeza de pele;;45;0
C051;Lorenzo Fernandes;39;2024-01-28;Sobrancelha;;35;0
C141;Noah Freitas;24;2024-01-28;Corte de Cabelo;;70;0
C237;Luiz Gustavo Gonçalves;70;2024-01-28;Corte de Cabelo;Shampoo de barba;70;49
C067;João Felipe Monteiro;49;2024-01-28;Corte de Cabelo;;70;0
C170;Dr. Noah Farias;18;2024-01-28;Combo 1;;110;0
C220;Lorenzo Alves;26;2024-01-28;Corte de Cabelo;;70;0
C069;Pedro Henrique Pires;28;2024-01-28;Combo 1;;110;0
C024;Breno das Neves;30;2024-01-28;Corte a Maquina;;55;0
C027;Dr. Kaique Farias;37;2024-01-28;Barba Modelada;;55;0
C118;Ryan Cavalcanti;56;2024-01-28;Combo 1;;110;0
C060;Marcos Vinicius Lopes;31;2024-01-28;Corte de Cabelo;;70;0
C182;Sr. Alexandre Azevedo;41;2024-01-29;Acabamento;;28;0
C205;Luiz Felipe Almeida;44;2024-01-29;Hidratação;;70;0
C162;Breno da Paz;9;2024-01-29;Combo 1;;110;0
C198;Dr. Luiz Miguel Vieira;30;2024-01-29;Acabamento;Pomada de cabelo;28;89
C247;Dr. Danilo Caldeira;72;2024-01-29;Acabamento;;28;0
C096;Enzo Moreira;60;2024-01-29;Corte de Cabelo;;70;0
C167;Marcos Vinicius Ferreira;64;2024-01-29;Corte de Cabelo;Shampoo de barba;70;49
C014;Luiz Henrique Caldeira;13;2024-01-29;Corte de Cabelo;Shampoo de barba;70;49
C077;Igor Pereira;61;2024-01-29;Combo 1;;110;0
C110;Diego Moraes;19;2024-01-29;Combo 1;Balm;110;49
C058;Dr. Danilo Aragão;39;2024-01-29;Combo 2;;100;0
C083;Samuel Azevedo;9;2024-01-29;Combo 1;;110;0
C035;Cauê Pereira;45;2024-01-30;Barba Modelada;;55;0
C122;Nathan Moura;50;2024-01-30;Combo 1;Pomada de cabelo;110;89
C160;Noah Porto;41;2024-01-30;Corte de Cabelo;;70;0
C219;Lucca Nogueira;54;2024-01-30;Barba Modelada;;55;0
C170;Dr. Noah Farias;18;2024-01-30;Barba Modelada;;55;0
C165;Vitor Novaes;12;2024-01-30;Corte a Maquina;Balm;55;49
C097;Nicolas Gomes;20;2024-01-30;Corte de Cabelo;Balm;70;49
C029;Pedro Miguel da Cunha;22;2024-01-30;Combo 1;Pomada de cabelo;110;89
C003;Dr. Daniel Vieira;37;2024-01-30;Depilação de orelha;;35;0
C112;Dr. Erick Ferreira;65;2024-01-30;Corte de Cabelo;Shampoo de barba;70;49
C198;Dr. Luiz Miguel Vieira;30;2024-01-30;Barba Modelada;;55;0
C203;Renan da Mota;10;2024-01-30;Corte de Cabelo;Balm;70;49
C126;Davi da Cunha;34;2024-01-30;Combo 1;;110;0
C192;Sr. João Lucas Ribeiro;45;2024-01-30;Acabamento;;28;0
C136;Dr. Levi Cunha;22;2024-01-31;Barba Modelada;;55;0
C122;Nathan Moura;50;2024-01-31;Corte de Cabelo;;70;0
C226;Pedro Henrique Jesus;54;2024-01-31;Combo 2;;100;0
C160;Noah Porto;41;2024-01-31;Corte de Cabelo;;70;0
C152;Heitor Vieira;69;2024-01-31;Barba Modelada;;55;0
